Column1;Column2;Column3;Column4;Column5;Column6;Column7
Список игроков Барселоны;;;;;;
;;;;;;
Игрок;Амплуа;;;;;
 Арнау Тенас;вратарь;;;;;
 Иньяки Пенья;вратарь;;;;;
 Марк-Андре тер Стеген;вратарь;;;;;
 Андреас Кристенсен;защитник;;;;;
 Жерар Пике;защитник;;;;;
 Жорди Альба;защитник;;;;;
  Жюль Кунде;защитник;;;;;
 Рональд Араухо;защитник;;;;;
 Самюэль Умтити;защитник;;;;;
  Серджиньо Дест;защитник;;;;;
  Эрик Гарсия;защитник;;;;;
 Алекс Кольядо;полузащитник;;;;;
  Ансу Фати;полузащитник;;;;;
  Гави;полузащитник;;;;;
  Миралем Пьянич;полузащитник;;;;;
  Нико Гонсалес;полузащитник;;;;;
  Педри;полузащитник;;;;;
  Рафинья;полузащитник;;;;;
 Серджи Бускетс;полузащитник;;;;;
  Серджи Роберто;полузащитник;;;;;
 Усман Дембеле;полузащитник;;;;;
  Ферран Торрес;полузащитник;;;;;
 Франк Кессиэ;полузащитник;;;;;
 Френки де Йонг;полузащитник;;;;;
  Эз Абде;полузащитник;;;;;
 Мартин Брэйтуэйт;нападающий;;;;;
 Мемфис Депай;нападающий;;;;;
  Пьер-Эмерик Обамеянг;нападающий;;;;;
;;;;;;
